area_type,location,Area,bath,balcony,price,bhk,area_per_bhk
Super built-up  Area,Electronic City Phase II,1056.0,2.0,2.0,39.07,2,528.0
Super built-up  Area,Lingadheeranahalli,1521.0,3.0,3.0,95.0,3,507.0
Super built-up  Area,Whitefield,1170.0,2.0,2.0,38.0,2,585.0
Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,2.0,38.0,2,500.0
Plot  Area,Sarjapur,2250.0,3.0,3.0,148.0,3,750.0
Super built-up  Area,Mysore Road,1175.0,2.0,2.0,73.5,2,587.5
Super built-up  Area,Bisuvanahalli,1180.0,3.0,3.0,48.0,3,393.3333333333333
Super built-up  Area,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3,513.3333333333334
Super built-up  Area,Binny Pete,1755.0,3.0,3.0,122.0,3,585.0
Super built-up  Area,other,510.0,1.0,1.0,25.25,1,510.0
Super built-up  Area,Electronic City,660.0,1.0,1.0,23.1,2,330.0
Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,48.77,2,575.5
Super built-up  Area,Electronic City,1025.0,2.0,2.0,47.0,3,341.6666666666667
Super built-up  Area,Bisuvanahalli,1075.0,2.0,2.0,35.0,3,358.3333333333333
Super built-up  Area,Hebbal,1760.0,2.0,2.0,123.0,3,586.6666666666666
Super built-up  Area,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3,564.3333333333334
Built-up  Area,other,1925.0,3.0,3.0,125.0,3,641.6666666666666
Super built-up  Area,Kanakpura Road,700.0,2.0,2.0,36.0,2,350.0
Super built-up  Area,Kundalahalli,1724.0,3.0,3.0,125.0,3,574.6666666666666
Built-up  Area,other,1296.0,2.0,2.0,81.0,2,648.0
Super built-up  Area,Sarjapur  Road,1254.0,3.0,3.0,38.0,3,418.0
Super built-up  Area,other,600.0,1.0,1.0,38.0,1,600.0
Super built-up  Area,Kanakpura Road,1330.74,2.0,2.0,91.79,2,665.37
Super built-up  Area,Doddathoguru,970.0,2.0,2.0,33.0,2,485.0
Super built-up  Area,Whitefield,1459.0,2.0,2.0,94.82,2,729.5
Super built-up  Area,other,1270.0,2.0,2.0,50.0,2,635.0
Super built-up  Area,Bhoganhalli,1670.0,3.0,3.0,99.0,3,556.6666666666666
Built-up  Area,Whitefield,2010.0,3.0,3.0,91.0,3,670.0
Super built-up  Area,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2,592.5
Super built-up  Area,Yelahanka,1600.0,2.0,2.0,75.0,3,533.3333333333334
Super built-up  Area,Begur Road,1200.0,2.0,2.0,44.0,2,600.0
Super built-up  Area,other,845.0,2.0,2.0,55.0,2,422.5
Built-up  Area,Varthur,1160.0,2.0,2.0,44.0,2,580.0
Super built-up  Area,Gunjur,1140.0,2.0,2.0,43.0,2,570.0
Super built-up  Area,Begur Road,1358.0,2.0,2.0,80.58,2,679.0
Super built-up  Area,Hegde Nagar,1569.0,3.0,3.0,101.0,3,523.0
Super built-up  Area,Haralur Road,1240.0,2.0,2.0,70.0,2,620.0
Super built-up  Area,Hennur Road,2089.0,3.0,3.0,140.0,3,696.3333333333334
Super built-up  Area,other,1660.0,2.0,2.0,105.0,3,553.3333333333334
Super built-up  Area,Yelahanka,1326.0,2.0,2.0,78.0,2,663.0
Super built-up  Area,Dasanapura,708.0,2.0,2.0,37.0,2,354.0
Super built-up  Area,Kasavanhalli,1060.0,2.0,2.0,58.06,2,530.0
Built-up  Area,other,1000.0,2.0,2.0,70.0,2,500.0
Super built-up  Area,Thanisandra,1296.0,2.0,2.0,80.0,2,648.0
Built-up  Area,Chandapura,650.0,1.0,1.0,17.0,2,325.0
Super built-up  Area,other,1007.0,2.0,2.0,43.0,2,503.5
Super built-up  Area,other,1200.0,2.0,2.0,50.0,2,600.0
Super built-up  Area,Devanahalli,1260.0,2.0,2.0,66.78,2,630.0
Super built-up  Area,other,1413.0,2.0,2.0,75.0,3,471.0
Super built-up  Area,Whitefield,1116.0,2.0,2.0,51.91,2,558.0
Super built-up  Area,Electronic City,1530.0,2.0,2.0,45.9,3,510.0
Super built-up  Area,Kengeri,1540.0,2.0,2.0,64.0,3,513.3333333333334
Super built-up  Area,Thanisandra,1427.0,3.0,3.0,120.0,3,475.6666666666667
Super built-up  Area,Devanahalli,1282.0,2.0,2.0,68.52,3,427.3333333333333
Built-up  Area,other,1600.0,3.0,3.0,65.0,3,533.3333333333334
Super built-up  Area,Hormavu,1500.0,2.0,2.0,78.0,2,750.0
Built-up  Area,other,1870.0,3.0,3.0,110.0,3,623.3333333333334
Plot  Area,Sarjapur,1600.0,3.0,3.0,75.0,3,533.3333333333334
Super built-up  Area,Electronic City,880.0,1.0,1.0,16.5,2,440.0
Super built-up  Area,Kudlu Gate,1535.0,3.0,3.0,83.0,3,511.6666666666667
Built-up  Area,Kanakpura Road,950.0,2.0,2.0,57.0,2,475.0
Super built-up  Area,Devanahalli,1360.0,2.0,2.0,65.0,2,680.0
Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,2.0,54.005,2,536.75
Super built-up  Area,other,1260.0,2.0,2.0,85.05,3,420.0
Super built-up  Area,Kasavanhalli,1563.05,3.0,3.0,105.0,3,521.0166666666667
Super built-up  Area,Anandapura,1167.0,2.0,2.0,43.76,2,583.5
Super built-up  Area,Kothanur,1828.0,3.0,3.0,110.0,3,609.3333333333334
Super built-up  Area,Kengeri Satellite Town,890.0,2.0,2.0,35.0,2,445.0
Super built-up  Area,other,1612.0,3.0,3.0,46.74,3,537.3333333333334
Super built-up  Area,Mysore Road,1710.0,4.0,4.0,91.31,3,570.0
Super built-up  Area,Kannamangala,957.0,2.0,2.0,58.0,2,478.5
Super built-up  Area,Hulimavu,1125.0,2.0,2.0,50.0,2,562.5
Super built-up  Area,Electronic City Phase II,1020.0,2.0,2.0,30.6,2,510.0
Super built-up  Area,Thanisandra,1735.0,3.0,3.0,135.0,3,578.3333333333334
Super built-up  Area,Thanisandra,2050.0,3.0,3.0,145.0,3,683.3333333333334
Super built-up  Area,Hosa Road,1063.0,2.0,2.0,32.0,2,531.5
Super built-up  Area,other,1904.0,3.0,3.0,150.0,3,634.6666666666666
Super built-up  Area,other,2000.0,3.0,3.0,175.0,3,666.6666666666666
Super built-up  Area,Sarjapur,1242.5,2.0,2.0,43.49,2,621.25
Super built-up  Area,other,1425.0,2.0,2.0,75.0,3,475.0
Super built-up  Area,Electronic City,1500.0,2.0,2.0,64.5,3,500.0
Built-up  Area,Electronic City,1060.0,2.0,2.0,60.0,2,530.0
Built-up  Area,other,1470.0,2.0,2.0,70.0,3,490.0
Super built-up  Area,Attibele,450.0,1.0,1.0,11.0,1,450.0
Super built-up  Area,Electronic City,1152.0,2.0,2.0,64.5,2,576.0
Super built-up  Area,Electronic City,1350.0,2.0,2.0,56.0,3,450.0
Super built-up  Area,CV Raman Nagar,1550.0,3.0,3.0,65.0,3,516.6666666666666
Super built-up  Area,Malleshwaram,705.0,1.0,1.0,67.0,1,705.0
Built-up  Area,Electronic City,770.0,1.0,1.0,36.0,2,385.0
Super built-up  Area,Hulimavu,1242.0,2.0,2.0,51.0,2,621.0
Super built-up  Area,Hebbal Kempapura,1700.0,3.0,3.0,155.0,3,566.6666666666666
Super built-up  Area,Thanisandra,2144.0,3.0,3.0,145.0,3,714.6666666666666
Super built-up  Area,Vijayanagar,1704.0,3.0,3.0,110.0,3,568.0
Super built-up  Area,Electronic City,1070.0,2.0,2.0,52.0,2,535.0
Built-up  Area,Electronic City,1025.0,2.0,2.0,46.0,2,512.5
Super built-up  Area,KR Puram,1277.5,2.0,2.0,56.8,2,638.75
Super built-up  Area,Marathahalli,1200.0,2.0,2.0,52.0,2,600.0
Super built-up  Area,other,1550.0,2.0,2.0,80.0,3,516.6666666666666
Super built-up  Area,Marathahalli,1200.0,2.0,2.0,60.0,2,600.0
Super built-up  Area,Yelahanka,1327.0,2.0,2.0,98.0,2,663.5
Super built-up  Area,HSR Layout,1400.0,3.0,3.0,56.0,3,466.6666666666667
Built-up  Area,Whitefield,1225.0,2.0,2.0,47.6,2,612.5
Built-up  Area,Kadugodi,1260.0,2.0,2.0,54.0,3,420.0
Super built-up  Area,Yelahanka,1282.0,2.0,2.0,48.7,3,427.3333333333333
Super built-up  Area,other,1909.0,3.0,3.0,88.0,3,636.3333333333334
Super built-up  Area,Panathur,1359.0,2.0,2.0,87.0,2,679.5
Super built-up  Area,Kammasandra,1595.0,3.0,3.0,65.0,3,531.6666666666666
Super built-up  Area,Electronics City Phase 1,1475.0,3.0,3.0,78.29,3,491.6666666666667
Super built-up  Area,other,1580.0,3.0,3.0,100.0,3,526.6666666666666
Super built-up  Area,Dasarahalli,1295.0,2.0,2.0,65.0,2,647.5
Super built-up  Area,Electronic City,589.0,1.0,1.0,27.0,1,589.0
Super built-up  Area,Sarjapur  Road,1787.0,3.0,3.0,98.29,3,595.6666666666666
Super built-up  Area,Sarjapur  Road,1787.0,3.0,3.0,125.0,3,595.6666666666666
Super built-up  Area,Koramangala,1475.0,2.0,2.0,90.0,3,491.6666666666667
Super built-up  Area,Sarjapur  Road,984.0,2.0,2.0,44.28,2,492.0
Super built-up  Area,Devanahalli,1630.0,2.6926096474673513,2.6926096474673513,74.82,3,543.3333333333334
Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,540.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.4,2,576.5
Super built-up  Area,other,1148.0,2.0,2.0,60.0,2,574.0
Super built-up  Area,other,1110.0,2.0,2.0,55.0,2,555.0
Built-up  Area,Electronic City,1100.0,2.0,2.0,42.0,2,550.0
Super built-up  Area,Kalyan nagar,1290.0,2.0,2.0,110.0,2,645.0
Super built-up  Area,Vijayanagar,1933.0,3.0,3.0,129.0,3,644.3333333333334
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,645.0
Super built-up  Area,other,1644.0,3.0,3.0,84.0,3,548.0
Super built-up  Area,other,1285.0,2.0,2.0,72.5,2,642.5
Super built-up  Area,Electronic City,910.0,2.0,2.0,40.0,2,455.0
Super built-up  Area,Kothanur,1577.0,3.0,3.0,70.0,3,525.6666666666666
Super built-up  Area,Chandapura,800.0,1.0,1.0,20.0,2,400.0
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,635.0
Super built-up  Area,Electronic City,1108.0,2.0,2.0,63.0,2,554.0
Super built-up  Area,Vijayanagar,1500.0,3.0,3.0,75.5,3,500.0
Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2,647.5
Super built-up  Area,Budigere,1162.0,2.0,2.0,59.9,2,581.0
Super built-up  Area,Sarjapur  Road,1035.0,2.0,2.0,49.2,2,517.5
Built-up  Area,Attibele,1600.0,4.0,4.0,52.8,4,400.0
Super built-up  Area,Hennur Road,1866.0,2.0,2.0,61.58,3,622.0
Super built-up  Area,other,700.0,1.0,1.0,26.0,2,350.0
Super built-up  Area,Kalena Agrahara,1804.0,3.0,3.0,120.0,3,601.3333333333334
Super built-up  Area,Talaghattapura,1868.0,3.0,3.0,131.0,3,622.6666666666666
Super built-up  Area,Hegde Nagar,2026.0,3.0,3.0,132.0,3,675.3333333333334
Super built-up  Area,Balagere,1210.0,2.0,2.0,80.9,2,605.0
Super built-up  Area,Kadugodi,1762.0,3.0,3.0,91.45,3,587.3333333333334
Super built-up  Area,Jigani,1252.0,3.0,3.0,55.0,3,417.3333333333333
Built-up  Area,Gollarapalya Hosahalli,861.0,2.0,2.0,34.5,2,430.5
Built-up  Area,7th Phase JP Nagar,1420.0,2.0,2.0,100.0,3,473.3333333333333
Built-up  Area,Electronics City Phase 1,1490.0,3.0,3.0,78.8,3,496.6666666666667
Super built-up  Area,Old Madras Road,1425.0,2.0,2.0,94.0,3,475.0
Built-up  Area,Kalena Agrahara,1200.0,2.0,2.0,40.0,2,600.0
Super built-up  Area,other,1084.0,2.0,2.0,50.0,2,542.0
Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2,507.5
Super built-up  Area,Kanakpura Road,1017.0,2.0,2.0,51.25,2,508.5
Super built-up  Area,Electronic City Phase II,1069.0,2.0,2.0,45.0,2,534.5
Super built-up  Area,Hebbal,1349.0,2.0,2.0,98.2,2,674.5
Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,2.0,50.0,2,502.5
Super built-up  Area,Jakkur,1417.0,2.0,2.0,75.0,2,708.5
Carpet  Area,other,950.0,2.0,2.0,47.0,2,475.0
Super built-up  Area,other,2000.0,4.0,4.0,120.0,4,500.0
Super built-up  Area,Sarjapur  Road,1863.0,3.0,3.0,104.0,4,465.75
